city_name,country_code,latitude,longitude,date,cloud_cover_perc_avg,cloud_cover_perc_max,cloud_cover_perc_min,degree_days_cooling,degree_days_freezing,degree_days_growing,degree_days_heating,humidity_relative_avg,humidity_relative_max,humidity_relative_min,index_air_quality_24hr_max,index_uv_avg,index_uv_max,index_uv_min,minutes_of_ice_total,minutes_of_precipitation_total,minutes_of_sun_total,minutes_of_rain_total,minutes_of_snow_total,has_ice,ice_lwe_rate_avg,ice_lwe_rate_max,ice_lwe_rate_min,ice_lwe_total,ice_probability,has_precipitation,precipitation_lwe_rate_avg,precipitation_lwe_rate_max,precipitation_lwe_rate_min,precipitation_lwe_total,precipitation_probability,precipitation_type_desc_predominant,has_rain,rain_lwe_rate_avg,rain_lwe_rate_max,rain_lwe_rate_min,rain_lwe_total,rain_probability,snow_liquid_ratio_accuweather_avg,snow_liquid_ratio_accuweather_max,snow_liquid_ratio_accuweather_min,has_snow,snow_avg,snow_max,snow_min,snow_total,snow_lwe_rate_avg,snow_lwe_rate_max,snow_lwe_rate_min,snow_lwe_total,snow_probability,solar_irradiance_avg,solar_irradiance_max,solar_irradiance_total,temperature_avg,temperature_max,temperature_min,temperature_dew_point_avg,temperature_dew_point_max,temperature_dew_point_min,temperature_heat_index_avg,temperature_heat_index_max,temperature_heat_index_min,temperature_realfeel_avg,temperature_realfeel_max,temperature_realfeel_min,temperature_realfeel_shade_avg,temperature_realfeel_shade_max,temperature_realfeel_shade_min,temperature_wind_chill_avg,temperature_wind_chill_max,temperature_wind_chill_min,visibility_avg,visibility_max,visibility_min,wind_direction_avg,wind_gust_avg,wind_gust_max,wind_gust_min,wind_gust_direction_avg,wind_speed_avg,wind_speed_max,wind_speed_min
hong kong,hk,22.36851,114.17402,2024-07-19,89,100,53,19.57,0,34.57,0,78.3,85.96,67.58,50,0.79,3.02,0,0,390,71,390,0,false,0,0,0,0,0,false,0.58,0.18,0,0.58,98,rain,true,0.58,0.18,0,0.58,98,0,0,0,false,0,0,0,0,0,0,0,0,0,72.3,388.33,1735.15,84.57,88.86,81.46,77.07,78.19,76.02,94.52,101.16,88.97,92.91,98.1,86.25,92.04,97.18,86.25,84.57,88.86,81.46,5.31,6,4,134.8,17.9,24.7,13.5,134.8,7.21,9.9,5.4
hong kong,hk,22.36851,114.17402,2024-07-20,91,99,76,18.93,0,33.93,0,82.36,91.23,67.3,0,0.81,2.94,0,0,360,35,360,0,false,0,0,0,0,0,false,0.69,0.19,0,0.69,98,rain,true,0.69,0.19,0,0.69,98,0,0,0,false,0,0,0,0,0,0,0,0,0,64.39,220.68,1545.24,83.93,89.53,80.31,77.94,79.47,76.47,94.37,102.81,87.55,93.56,99.16,88.34,92.68,99.16,88.34,83.93,89.53,80.31,5.38,6,4,139,14.74,17.4,13.6,139,5.87,6.9,5.4
hong kong,hk,22.36851,114.17402,2024-07-12,81,99,39,20.7,0,35.7,0,78.34,88.83,65.08,52,1.03,5.34,0,0,150,46,150,0,false,0,0,0,0,0,false,0.2,0.15,0.01,0.2,74,rain,true,0.2,0.15,0.01,0.2,74,0,0,0,false,0,0,0,0,0,0,0,0,0,62.41,232.79,1497.8,85.7,91.25,81.46,78.12,78.6,77.79,97.49,106.16,89.98,95.81,103.23,90.37,94.9,99.49,90.37,85.7,91.25,81.46,6.54,7,4,184.8,14.4,16.7,12.5,184.8,6.1,7.7,5
hong kong,hk,22.36851,114.17402,2024-07-13,86,100,33,22.4,0,37.4,0,72.96,87.54,57.8,51,2.42,12.83,0,0,120,177,120,0,false,0,0,0,0,0,false,0.09,0.03,0.01,0.09,87,rain,true,0.09,0.03,0.01,0.09,87,0,0,0,false,0,0,0,0,0,0,0,0,0,225.4,1037.53,5409.64,87.4,93.83,81.7,77.53,78.4,76.8,99.34,107.97,90.19,97.54,105.03,91.05,95.95,101.32,91.05,87.4,93.83,81.7,6.42,10,5,157.4,15.24,18.5,12.5,157.4,6.17,7.4,5.5
hong kong,hk,22.36851,114.17402,2024-07-16,94,100,74,20.22,0,35.22,0,79.9,91.49,67.7,50,0.72,3.03,0,0,240,29,240,0,false,0,0,0,0,0,false,0.31,0.11,0.02,0.31,95,rain,true,0.31,0.11,0.02,0.31,95,0,0,0,false,0,0,0,0,0,0,0,0,0,49.48,208.99,1187.41,85.22,90.33,80.67,78.31,78.7,78,97.03,105.33,88.64,94.68,99.76,89.93,94.04,97.18,89.93,85.22,90.33,80.67,5.42,6,4,87.4,18.44,23.7,14,87.4,7.47,9.7,5.6
osaka-shi,jp,34.6667,135.5,2024-07-13,93,100,48,13.34,0,28.34,0,83.9,93.85,65.72,51,1.75,7.17,0,0,0,91,0,0,false,0,0,0,0,0,false,0,0,0,0,46,none,false,0,0,0,0,46,0,0,0,false,0,0,0,0,0,0,0,0,0,124.86,756.6,2996.55,78.34,86.96,70.71,72.93,75.5,68,82.21,95.45,71.76,85.76,98.66,73.4,84.05,93.52,73.4,78.34,86.96,70.71,6.13,10,4,170.3,9.73,14,7.2,170.3,4.71,7,3
osaka-shi,jp,34.6667,135.5,2024-07-21,62,100,0,18.86,0,33.86,0,74.42,93.64,62.88,0,2.49,11.09,0,0,60,368,60,0,false,0,0,0,0,0,false,0.04,0.03,0.01,0.04,73,rain,true,0.04,0.03,0.01,0.04,73,0,0,0,false,0,0,0,0,0,0,0,0,0,293.65,970.34,7047.61,83.86,90,78,74.72,76.43,72.85,90.58,101.46,79.81,92.34,100.16,84.55,90.49,97.86,83.66,83.86,90,78,6.77,10,4.94,206.4,13.06,18,8.2,206.4,6,8.9,3.3
osaka-shi,jp,34.6667,135.5,2024-07-22,47,70,36,19.34,0,34.34,0,75.06,85.61,63.33,0,2.63,10.09,0,0,180,420,180,0,false,0,0,0,0,0,false,0.2,0.07,0.03,0.2,92,rain,true,0.2,0.07,0.03,0.2,92,0,0,0,false,0,0,0,0,0,0,0,0,0,345.15,989.58,8283.7,84.34,91,79,75.52,77.99,73.6,92.53,104.76,80.62,94.47,102.43,87.01,92.25,100.04,87.01,84.34,91,79,6.33,10,5,204,9.08,15,5.1,204,3.67,6.8,2
osaka-shi,jp,34.6667,135.5,2024-07-23,39,70,26,17.63,0,32.63,0,77.74,91.35,64.76,0,2.53,11.04,0,0,180,411,180,0,false,0,0,0,0,0,false,0.22,0.07,0.04,0.22,91,rain,true,0.22,0.07,0.04,0.22,91,0,0,0,false,0,0,0,0,0,0,0,0,0,333.47,991.95,8003.23,82.63,90,76,74.84,78.15,71.74,89.22,102.5,77.59,93.07,101.72,83.5,90.9,99.74,83.04,82.63,90,76,6.33,7,5,213.6,4.45,6.6,1.4,213.6,1.75,2.7,0.5
osaka-shi,jp,34.6667,135.5,2024-07-24,47,80,18,17.42,0,32.42,0,77.86,94.7,62.7,0,2.55,11.02,0,0,60,393,60,0,false,0,0,0,0,0,false,0.08,0.05,0.03,0.08,80,rain,true,0.08,0.05,0.03,0.08,80,0,0,0,false,0,0,0,0,0,0,0,0,0,326.32,983.99,7831.64,82.42,89,76,74.62,78.52,71.69,88.46,98.77,77.75,93.19,100.96,84.47,90.97,98.83,84.19,82.42,89,76,6.08,7,4,133,3.2,6.7,0.9,133,1.26,3.1,0.3
osaka-shi,jp,34.6667,135.5,2024-07-25,46,97,9,19.09,0,34.09,0,74.13,90,57.35,0,2.78,10.99,0,0,0,562,0,0,false,0,0,0,0,0,false,0,0,0,0,49,none,false,0,0,0,0,49,0,0,0,false,0,0,0,0,0,0,0,0,0,369.63,1034.19,8871.22,84.09,91,77,74.66,76.82,72.46,90.73,100.51,78.55,94.39,102.49,84.04,92.19,99.1,84.04,84.09,91,77,8.13,10,4,195.5,3.83,8.8,0.7,195.5,2.41,4.4,0.3
osaka-shi,jp,34.6667,135.5,2024-07-26,87,100,65,19.77,0,34.77,0,73.9,93.87,56.53,0,1.22,4.8,0,0,60,146,60,0,false,0,0,0,0,0,false,0.04,0.02,0.02,0.04,82,none,true,0.04,0.02,0.02,0.04,82,0,0,0,false,0,0,0,0,0,0,0,0,0,196.81,674.63,4723.46,84.77,92.1,77.7,75.19,76.01,74.41,91.95,102.64,79.58,94.09,101.21,84.72,92.74,101.21,84.72,84.77,92.1,77.7,9.67,10,6,222.6,4.05,6.8,1.8,222.6,3.28,5.2,1.6
osaka-shi,jp,34.6667,135.5,2024-07-14,99,100,98,14.24,0,29.24,0,85.88,95.47,73.79,53,0.98,3.91,0,0,150,3,150,0,false,0,0,0,0,0,false,0.23,0.12,0.03,0.23,82,rain,true,0.23,0.12,0.03,0.23,82,0,0,0,false,0,0,0,0,0,0,0,0,0,31.89,107.72,765.39,79.24,84.96,75.48,74.62,75.9,73.4,83.12,94.08,77.21,86.86,95.83,81.63,85.78,91.94,81.63,79.24,84.96,75.48,4.42,7,4,156.2,9.27,16.6,4.6,156.2,5.32,7.2,2.3
osaka-shi,jp,34.6667,135.5,2024-07-15,94,100,67,14.32,0,29.32,0,77.99,92.52,62.53,52,1.21,4.94,0,0,90,6,90,0,false,0,0,0,0,0,false,0.06,0.03,0.01,0.06,79,rain,true,0.06,0.03,0.01,0.06,79,0,0,0,false,0,0,0,0,0,0,0,0,0,26.35,87.15,632.48,79.32,85.55,74.28,71.7,73.5,70.6,82.15,91.13,75.76,84.61,93.91,77.74,83.29,89.17,77.74,79.32,85.55,74.28,4.67,6,4,233.4,9.78,14.9,6.2,233.4,6,10.8,2.9
osaka-shi,jp,34.6667,135.5,2024-07-16,96,100,80,12.83,0,27.83,0,83.92,89.18,74.3,52,1.04,4.23,0,0,150,6,150,0,false,0,0,0,0,0,false,0.37,0.24,0.01,0.37,90,rain,true,0.37,0.24,0.01,0.37,90,0,0,0,false,0,0,0,0,0,0,0,0,0,30.11,84.76,722.57,77.83,81.96,75.01,72.6,75.3,71.5,80.29,87.32,76.38,83.68,90.45,79.24,82.51,86.72,79.24,77.83,81.96,75.01,4.25,5,3,218.3,8.93,15.7,4.8,218.3,5.56,7.8,4.1
osaka-shi,jp,34.6667,135.5,2024-07-17,99,100,99,18.04,0,33.04,0,75.97,96.45,57.8,52,0.73,2.6,0,0,180,0,180,0,false,0,0,0,0,0,false,0.12,0.04,0,0.12,83,rain,true,0.12,0.04,0,0.12,83,0,0,0,false,0,0,0,0,0,0,0,0,0,19.37,53.12,464.89,83.04,92.66,73.56,74.37,76.26,72.2,89.77,104.89,75.15,90.01,101.16,79.55,89.21,99.1,79.55,83.04,92.66,73.56,4.5,5,3,237.9,8.14,12.6,4.5,237.9,5.85,8.8,3.5
osaka-shi,jp,34.6667,135.5,2024-07-18,95,100,82,19.43,0,34.43,0,72.87,86.39,59.58,51,1.32,5.19,0,0,0,10,0,0,false,0,0,0,0,0,false,0,0,0,0,30,none,false,0,0,0,0,30,0,0,0,false,0,0,0,0,0,0,0,0,0,27.93,101.25,670.44,84.43,92,77.68,74.71,76.95,71.76,92.06,104.4,79.09,93.5,101.52,83.89,92.14,100.45,83.89,84.43,92,77.68,7.45,10,5,225.7,6.81,13.5,2.5,225.7,3.6,6.1,1
osaka-shi,jp,34.6667,135.5,2024-07-19,99,100,91,17.68,0,32.68,0,81.96,92.36,70.74,51,1.21,5.18,0,0,150,0,150,0,false,0,0,0,0,0,false,0.43,0.22,0.01,0.43,88,rain,true,0.43,0.22,0.01,0.43,88,0,0,0,false,0,0,0,0,0,0,0,0,0,19.29,53.04,462.87,82.68,89,77.44,76.57,79.09,73.48,90.58,103.46,79,92.87,101.01,84.55,91.69,100.07,82.72,82.68,89,77.44,4.54,6,3,201.9,7.14,12,4.5,201.9,2.86,5,1.8
osaka-shi,jp,34.6667,135.5,2024-07-20,78,98,38,17.93,0,32.93,0,76.05,93.86,63.12,0,2.29,10.17,0,0,60,217,60,0,false,0,0,0,0,0,false,0.04,0.03,0.01,0.04,73,rain,true,0.04,0.03,0.01,0.04,73,0,0,0,false,0,0,0,0,0,0,0,0,0,239.29,877.59,5742.91,82.93,90,76,74.38,77.46,71.21,89,101.5,77.54,90.53,97.58,81.38,88.69,96.09,80.45,82.93,90,76,6.67,10,4,209.2,15.17,23,7.3,209.2,7.79,12.9,2.9
osaka-shi,jp,34.6667,135.5,2024-07-12,82,100,55,10.3,0,25.3,0,88.58,97,74.7,51,1.6,7.35,0,0,750,165,750,0,false,0,0,0,0,0,false,1.39,0.42,0.01,1.39,100,rain,true,1.39,0.42,0.01,1.39,100,0,0,0,false,0,0,0,0,0,0,0,0,0,164.76,835.49,3954.17,75.3,80.78,70.88,71.63,74.48,68.72,76.91,85.02,72.14,80.01,89.45,68.96,77.94,86.75,67.17,75.3,80.78,70.88,7.41,14.91,3.37,142.3,6.49,14.5,1.2,142.3,4.58,9,1
mumbai,in,19.14308,72.87849,2024-07-12,99,100,99,17.43,0,32.43,0,90.2,94.56,83.44,28,0.66,3.88,0,0,870,0,870,0,false,0,0,0,0,0,false,1.57,0.23,0,1.57,99,rain,true,1.57,0.23,0,1.57,99,0,0,0,false,0,0,0,0,0,0,0,0,0,28.01,89.41,672.27,82.43,85.2,80.08,79.3,80.2,78.4,93.38,99.01,87.9,91.92,95.41,88.22,91.37,95.23,88.22,82.43,85.2,80.08,3.88,4,3,248.7,15.15,18,12,248.7,7.01,8.8,5.6
mumbai,in,19.14308,72.87849,2024-07-13,100,100,100,16.7,0,31.7,0,92.12,94.92,88,31,0.57,2.89,0,0,780,0,780,0,false,0,0,0,0,0,false,2.76,0.61,0.06,2.76,99,rain,true,2.76,0.61,0.06,2.76,99,0,0,0,false,0,0,0,0,0,0,0,0,0,18.77,54.58,450.56,81.7,83.57,80.56,79.22,79.8,78.5,91.89,95.99,89.23,90.98,95.59,87.69,90.42,92.97,87.69,81.7,83.57,80.56,3.58,4,1,244.5,17.75,20,15,244.5,7.12,8,6
mumbai,in,19.14308,72.87849,2024-07-21,100,100,100,18.98,0,33.98,0,79.32,90.62,70.38,0,0.62,3.02,0,0,720,0,720,0,false,0,0,0,0,0,false,2.39,0.48,0.06,2.39,99,rain,true,2.39,0.48,0.06,2.39,99,0,0,0,false,0,0,0,0,0,0,0,0,0,18.7,54.63,448.72,83.98,86.6,81.14,76.91,79.32,75.39,93.53,97.22,87.31,89.65,93.96,82.61,89.24,93.52,82.61,83.98,86.6,81.14,3.35,4,1.5,250.9,22.57,24.5,21.3,250.9,12.62,13.8,11.3
mumbai,in,19.14308,72.87849,2024-07-22,100,100,100,16.93,0,31.93,0,82.34,95.55,69.63,0,0.64,3.02,0,0,600,0,600,0,false,0,0,0,0,0,false,1.36,0.26,0.05,1.36,99,rain,true,1.36,0.26,0.05,1.36,99,0,0,0,false,0,0,0,0,0,0,0,0,0,18.68,54.63,448.43,81.93,87.6,76.9,75.96,78.99,75.05,88.46,98.95,78.78,86.72,95.32,78.73,86.26,93.46,78.73,81.93,87.6,76.9,3.92,4,3,247.3,22.2,24.3,21.1,247.3,12.56,13.7,11.1
mumbai,in,19.14308,72.87849,2024-07-23,100,100,100,17.24,0,32.24,0,80.74,93.78,69.81,0,0.62,3.03,0,0,600,0,600,0,false,0,0,0,0,0,false,1.26,0.23,0.04,1.26,99,rain,true,1.26,0.23,0.04,1.26,99,0,0,0,false,0,0,0,0,0,0,0,0,0,18.67,54.63,448.12,82.24,87.5,77.9,75.71,79.27,74.13,89.01,98.78,79.8,86.95,95.52,81.44,86.51,93.58,80.8,82.24,87.5,77.9,3.88,4,3,244.4,21.73,22.8,20.7,244.4,12.08,12.5,11.7
mumbai,in,19.14308,72.87849,2024-07-24,100,100,100,16.48,0,31.48,0,82.75,94.74,67.1,0,0.62,3.03,0,0,660,0,660,0,false,0,0,0,0,0,false,1.42,0.3,0.05,1.42,98,rain,true,1.42,0.3,0.05,1.42,98,0,0,0,false,0,0,0,0,0,0,0,0,0,18.66,54.64,447.8,81.48,86.5,77.9,75.7,77.73,74.25,87.57,94.99,79.84,86.18,92.66,80.67,85.75,91.54,80.48,81.48,86.5,77.9,3.58,4,3,231.7,23.09,24.8,21.8,231.7,12.1,12.5,11.5
mumbai,in,19.14308,72.87849,2024-07-25,84,100,45,16.35,0,31.35,0,83.61,94.46,74.39,0,0.81,3.1,0,0,240,94,240,0,false,0,0,0,0,0,false,0.72,0.31,0.05,0.72,96,rain,true,0.72,0.31,0.05,0.72,96,0,0,0,false,0,0,0,0,0,0,0,0,0,82.63,463.53,1983.09,81.35,85.3,76.9,75.9,76.85,74.39,87.61,95.2,78.73,86.65,92.66,78.77,86,91.73,78.77,81.35,85.3,76.9,6.92,10,0,242.5,24.07,29.1,20.4,242.5,14.14,17.7,12
mumbai,in,19.14308,72.87849,2024-07-26,99,100,90,15.71,0,30.71,0,85.77,92.03,76.48,0,0.69,3.2,0,0,540,3,540,0,false,0,0,0,0,0,false,1.33,0.32,0.11,1.33,97,rain,true,1.33,0.32,0.11,1.33,97,0,0,0,false,0,0,0,0,0,0,0,0,0,31.54,108.8,757.06,80.71,84.4,77.9,76.07,77.92,75.31,86.41,93.71,79.72,84.9,90.3,78.45,84.41,90.3,78.45,80.71,84.4,77.9,6.92,10,2,245.9,22.83,28.7,18.9,245.9,15.81,16.8,14.6
mumbai,in,19.14308,72.87849,2024-07-14,99,100,97,16.68,0,31.68,0,92.74,97.04,86.45,39,0.63,2.9,0,0,600,3,600,0,false,0,0,0,0,0,false,2.61,0.76,0.11,2.61,99,rain,true,2.61,0.76,0.11,2.61,99,0,0,0,false,0,0,0,0,0,0,0,0,0,27.98,116.31,671.43,81.68,84.52,79.5,79.39,80.1,78.6,91.91,98.29,85.11,91.43,96.57,86.89,90.85,93.9,86.89,81.68,84.52,79.5,3.38,4,1,252,15.76,17.6,14.2,252,7.05,8.5,5.8
mumbai,in,19.14308,72.87849,2024-07-15,100,100,100,17.12,0,32.12,0,92.05,96.62,86.3,38,0.55,2.89,0,0,600,0,600,0,false,0,0,0,0,0,false,4.54,1.51,0.06,4.54,99,rain,true,4.54,1.51,0.06,4.54,99,0,0,0,false,0,0,0,0,0,0,0,0,0,18.76,54.59,450.18,82.12,84.98,79.53,79.6,80.5,78.5,93.09,99.72,85.16,92.16,95.45,87.25,91.67,95.45,87.25,82.12,84.98,79.53,2.59,4,0.25,240.8,13.77,15,11.4,240.8,6.05,7.5,5
mumbai,in,19.14308,72.87849,2024-07-16,99,100,96,16.5,0,31.5,0,93.95,98.78,90.35,32,0.52,2.89,0,0,900,0,900,0,false,0,0,0,0,0,false,3.91,0.74,0.06,3.91,99,rain,true,3.91,0.74,0.06,3.91,99,0,0,0,false,0,0,0,0,0,0,0,0,0,18.75,54.6,449.96,81.5,83.78,79.67,79.61,80.7,78.2,91.82,97.78,85.65,91.26,95.5,87.87,90.77,93.48,87.87,81.5,83.78,79.67,2.96,4,1,255.1,14.16,19.2,9.7,255.1,5.68,7.8,3.9
mumbai,in,19.14308,72.87849,2024-07-17,99,100,94,16.97,0,31.97,0,89.2,96.32,79.1,31,0.57,2.56,0,0,1140,0,1140,0,false,0,0,0,0,0,false,1.83,0.13,0.03,1.83,99,rain,true,1.83,0.13,0.03,1.83,99,0,0,0,false,0,0,0,0,0,0,0,0,0,18.74,54.61,449.74,81.97,86.43,78.66,78.48,79.5,77.5,91.29,100.65,80.75,90.58,98.28,85.82,90.08,95.66,85.82,81.97,86.43,78.66,3.83,4,3,254.8,16.42,20,13.7,254.8,6.58,8,5.5
mumbai,in,19.14308,72.87849,2024-07-18,100,100,100,16.93,0,31.93,0,88.64,97.49,67.56,30,0.47,2.03,0,0,1320,0,1320,0,false,0,0,0,0,0,false,6.98,1.12,0.19,6.98,99,rain,true,6.98,1.12,0.19,6.98,99,0,0,0,false,0,0,0,0,0,0,0,0,0,18.73,54.61,449.5,81.93,88,78.67,78.18,79.82,76,90.34,98.89,80.76,86.7,93.37,82.47,86.4,93.37,82.47,81.93,88,78.67,2.54,3,0.5,260.7,25.6,29.9,17.5,260.7,12.97,16.5,7
mumbai,in,19.14308,72.87849,2024-07-19,99,100,96,19.93,0,34.93,0,76.94,91.25,66.39,29,0.59,2.91,0,0,720,0,720,0,false,0,0,0,0,0,false,3.62,0.93,0.12,3.62,99,rain,true,3.62,0.93,0.12,3.62,99,0,0,0,false,0,0,0,0,0,0,0,0,0,18.72,54.62,449.25,84.93,88,81.81,76.9,79.36,75.01,95.06,100.68,90.59,89.67,95.7,85.35,89.31,95.7,84.27,84.93,88,81.81,3.19,4,1.5,248.5,26.57,30.3,24.4,248.5,14.3,16.8,13
